hostname,type,serial,image,os_ver,os,hardware,uptime
Router5,CSR1000V,9WPFS104KY7,packages.conf,17.3.5,IOS-XE,CSR1000V,"2 hours, 14 minutes"
Router5,CSR1000V,9WPFS104KY7,packages.conf,17.3.5,IOS-XE,CSR1000V,"2 hours, 14 minutes"
